EventName	EventType	EventTypeId	Country	City	ContinentCode	Subcontinent	StartDateTime	EndDateTime	EventId	Event_Tier_Name
WTT Star Contender Chennai 2026	WTT Star Contender	35	India	Chennai	asia	south asia	2026-02-10T00:00:00	2026-02-15T00:00:00	3233	WTT Series
Singapore Smash 2026 Presented by Resorts World Sentosa 	WTT Grand Smash	64	Singapore	Singapore	asia	south east asia	2026-02-19T00:00:00	2026-03-01T00:00:00	3234	WTT Series
WTT Champions Chongqing 2026	WTT Champions	65	China	Chongqing	asia	east asia	2026-03-10T00:00:00	2026-03-15T00:00:00	3235	WTT Series
WTT Contender Tunis 2026	WTT Contender	34	Tunisia		africa	north africa	2026-03-24T00:00:00	2026-03-29T00:00:00	3236	WTT Series
WTT Contender Taiyuan 2026	WTT Contender	34	China	Taiyuan	asia	east asia	2026-04-07T00:00:00	2026-04-12T00:00:00	3237	WTT Series
WTT Contender Lagos 2026	WTT Contender	34	Nigeria	Lagos	africa	west africa	2026-05-19T00:00:00	2026-05-24T00:00:00	3238	WTT Series
WTT Contender Skopje 2026	WTT Contender	34	North Macedonia	Skopje	europe	southern europe	2026-06-01T00:00:00	2026-06-07T00:00:00	3239	WTT Series
WTT Contender Zagreb 2026	WTT Contender	34	Croatia	Zagreb	europe	southern europe	2026-06-09T00:00:00	2026-06-14T00:00:00	3240	WTT Series
WTT Star Contender Ljubljana 2026	WTT Star Contender	35	Slovenia	Ljubljana	europe	southern europe	2026-06-16T00:00:00	2026-06-21T00:00:00	3241	WTT Series
United States Smash 2026	WTT Grand Smash	64	USA		americas	northern america	2026-06-25T00:00:00	2026-07-05T00:00:00	3242	WTT Series
WTT Contender Buenos Aires 2026	WTT Contender	34	Argentina	Buenos Aires	americas	south america	2026-07-14T00:00:00	2026-07-19T00:00:00	3243	WTT Series
WTT Star Contender Brazil 2026	WTT Star Contender	35	Brazil	TBC	americas	south america	2026-07-21T00:00:00	2026-07-26T00:00:00	3244	WTT Series
WTT Champions Yokohama 2026	WTT Champions	65	Japan	Yokohama	asia	east asia	2026-08-05T00:00:00	2026-08-09T00:00:00	3245	WTT Series
Europe Smash - Sweden 2026	WTT Grand Smash	64	Sweden	Malmö	europe	northern europe	2026-08-13T00:00:00	2026-08-23T00:00:00	3246	WTT Series
WTT Contender Almaty 2026	WTT Contender	34	Kazakhstan	Almaty	asia	middle asia	2026-09-01T00:00:00	2026-09-06T00:00:00	3247	WTT Series
WTT Champions Macao 2026	WTT Champions	65	Macao, China	Macao	asia	east asia	2026-09-08T00:00:00	2026-09-13T00:00:00	3248	WTT Series
China Smash 2026	WTT Grand Smash	64	China		asia	east asia	2026-10-01T00:00:00	2026-10-11T00:00:00	3249	WTT Series
WTT Champions Montpellier 2026	WTT Champions	65	France	Montpellier	europe	western europe	2026-10-27T00:00:00	2026-11-01T00:00:00	3250	WTT Series
WTT Contender Muscat 2026	WTT Contender	34	Oman	Muscat	asia	west asia	2026-01-19T00:00:00	2026-01-24T00:00:00	3251	WTT Series
WTT Champions Germany 2026	WTT Champions	65	Germany		europe	western europe	2026-11-03T00:00:00	2026-11-08T00:00:00	3252	WTT Series
WTT Contender Panagyurishte 2026	WTT Contender	34	Bulgaria	Panagyurishte	europe	eastern europe	2026-09-08T00:00:00	2026-09-13T00:00:00	3253	WTT Series
WTT Star Contender London 2026	WTT Star Contender	35	England	London	europe	northern europe	2026-09-15T00:00:00	2026-09-20T00:00:00	3254	WTT Series
WTT Finals Hong Kong 2026	WTT Finals	75	Hong Kong, China		asia	east asia	2026-12-08T00:00:00	2026-12-13T00:00:00	3255	WTT Series
WTT Star Contender Muscat 2026	WTT Star Contender	35	Oman	Muscat	asia	west asia	2026-11-16T00:00:00	2026-11-21T00:00:00	3256	WTT Series
WTT Contender Istanbul 2026	WTT Contender	34	Türkiye	Istanbul	europe	southern europe	2026-11-10T00:00:00	2026-11-15T00:00:00	3257	WTT Series
WTT Feeder Cappadocia 2026	WTT Feeder	81	Türkiye	Cappadocia - Nevsehir	europe	southern europe	2026-02-02T00:00:00	2026-02-06T00:00:00	3266	WTT Feeder Series
WTT Feeder Düsseldorf 2026	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2026-03-02T00:00:00	2026-03-06T00:00:00	3267	WTT Feeder Series
WTT Feeder Otocec 2026	WTT Feeder	81	Slovenia	Otocec	europe	southern europe	2026-03-07T00:00:00	2026-03-11T00:00:00	3268	WTT Feeder Series
WTT Feeder Gdansk 2026	WTT Feeder	81	Poland	Gdansk	europe	eastern europe	2026-11-28T00:00:00	2026-12-02T00:00:00	3269	WTT Feeder Series
WTT Feeder Havirov 2026	WTT Feeder	81	Czechia	Havirov	europe	eastern europe	2026-04-13T00:00:00	2026-04-17T00:00:00	3270	WTT Feeder Series
WTT Feeder Prishtina 2026	WTT Feeder	81	Kosovo	Prishtina	europe	southern europe	2026-05-27T00:00:00	2026-05-31T00:00:00	3271	WTT Feeder Series
WTT Feeder Vientiane 2026	WTT Feeder	81	Laos		asia	south east asia	2026-08-04T00:00:00	2026-08-08T00:00:00	3272	WTT Feeder Series
WTT Feeder Olomouc 2026	WTT Feeder	81	Czechia	Olomouc	europe	eastern europe	2026-08-24T00:00:00	2026-08-28T00:00:00	3282	WTT Feeder Series
WTT Feeder Doha II 2026	WTT Feeder	81	Qatar	Doha	asia	west asia	2026-10-07T00:00:00	2026-10-11T00:00:00	3283	WTT Feeder Series
WTT Feeder Düsseldorf II 2026	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2026-11-23T00:00:00	2026-11-27T00:00:00	3352	WTT Feeder Series
WTT Feeder Vadodara 2026 Presented by Sports Authority of Gujarat	WTT Feeder	81	India	Vadodara	asia	south asia	2026-01-07T00:00:00	2026-01-11T00:00:00	3353	WTT Feeder Series
WTT Feeder Doha 2026	WTT Feeder	81	Qatar	Doha	asia	west asia	2026-01-27T00:00:00	2026-01-31T00:00:00	3354	WTT Feeder Series
WTT Feeder Lille 2026	WTT Feeder	81	France	Lille	europe	western europe	2026-01-27T00:00:00	2026-01-31T00:00:00	3355	WTT Feeder Series
WTT Feeder Varazdin 2026	WTT Feeder	81	Croatia	Varaždin	europe	southern europe	2026-03-12T00:00:00	2026-03-16T00:00:00	3356	WTT Feeder Series
WTT Feeder Senec 2026	WTT Feeder	81	Slovak Republic	Senec	europe	eastern europe	2026-04-18T00:00:00	2026-04-22T00:00:00	3357	WTT Feeder Series
WTT Feeder Istanbul 2026	WTT Feeder	81	Türkiye	Istanbul	europe	southern europe	2026-05-10T00:00:00	2026-05-14T00:00:00	3358	WTT Feeder Series
WTT Feeder Istanbul II 2026	WTT Feeder	81	Türkiye	Istanbul	europe	southern europe	2026-07-01T00:00:00	2026-07-05T00:00:00	3359	WTT Feeder Series
WTT Feeder Lagos 2026	WTT Feeder	81	Portugal	Lagos	europe	southern europe	2026-05-15T00:00:00	2026-05-19T00:00:00	3360	WTT Feeder Series
WTT Feeder Hennebont 2026	WTT Feeder	81	France	Hennebont	europe	western europe	2026-05-20T00:00:00	2026-05-24T00:00:00	3361	WTT Feeder Series
WTT Feeder Asunción 2026	WTT Feeder	81	Paraguay	Asunción	americas	south america	2026-07-08T00:00:00	2026-07-12T00:00:00	3363	WTT Feeder Series
WTT Feeder Ulaanbaatar 2026	WTT Feeder	81	Mongolia	Ulaanbaatar	asia	east asia	2026-07-19T00:00:00	2026-07-23T00:00:00	3364	WTT Feeder Series
WTT Feeder Tashkent 2026	WTT Feeder	81	Uzbekistan	Tashkent	asia	middle asia	2026-07-24T00:00:00	2026-07-28T00:00:00	3365	WTT Feeder Series
WTT Feeder Vila Nova de Gaia 2026	WTT Feeder	81	Portugal	Vila Nova de Gaia	europe	southern europe	2026-11-04T00:00:00	2026-11-08T00:00:00	3370	WTT Feeder Series
WTT Feeder Bangkok 2026	WTT Feeder	81	Thailand	Bangkok	asia	south east asia	2026-09-14T00:00:00	2026-09-18T00:00:00	3371	WTT Feeder Series
WTT Feeder Tunis 2026	WTT Feeder	81	Tunisia	Tunis	africa	north africa	2026-07-29T00:00:00	2026-08-02T00:00:00	3372	WTT Feeder Series
WTT Feeder Cappadocia II 2026	WTT Feeder	81	Türkiye	Cappadocia - Nevsehir	europe	southern europe	2026-04-07T00:00:00	2026-04-11T00:00:00	3373	WTT Feeder Series
WTT Feeder Berlin 2026	WTT Feeder	81	Germany	Berlin	europe	western europe	2026-08-19T00:00:00	2026-08-23T00:00:00	3374	WTT Feeder Series
WTT Feeder Linz 2026	WTT Feeder	81	Austria	Linz	europe	western europe	2026-09-23T00:00:00	2026-09-27T00:00:00	3375	WTT Feeder Series
WTT Feeder Chennai 2026	WTT Feeder	81	India	Chennai	asia	south asia	2026-10-28T00:00:00	2026-11-01T00:00:00	3376	WTT Feeder Series
ITTF Men’s & Women’s World Cups Macao 2026	Singles World Cup	95	Macao, China		asia	east asia	2026-03-30T00:00:00	2026-04-05T00:00:00	3379	
WTT Feeder Puerto Princesa 2026	WTT Feeder	81	Philippines	Puerto Princesa	asia	south east asia	2026-09-08T00:00:00	2026-09-12T00:00:00	3415	WTT Feeder Series
ITTF-Oceania Championships Ballarat 2026	WTTC Finals Continental Qualifications	89	Australia	Ballarat	oceania	australasia	2026-08-26T00:00:00	2026-08-30T00:00:00	3454	
